Epi_week,State,OROV_cases,INC
2014_01,AC,0,0
2014_01,AL,0,0
2014_01,AM,0,0
2014_01,AP,0,0
2014_01,BA,0,0
2014_01,CE,0,0
2014_01,DF,0,0
2014_01,ES,0,0
2014_01,GO,0,0
2014_01,MA,0,0
2014_01,MG,0,0
2014_01,MS,0,0
2014_01,MT,0,0
2014_01,PA,0,0
2014_01,PB,0,0
2014_01,PE,0,0
2014_01,PI,0,0
2014_01,PR,0,0
2014_01,RJ,0,0
2014_01,RN,0,0
2014_01,RO,0,0
2014_01,RR,0,0
2014_01,RS,0,0
2014_01,SC,0,0
2014_01,SE,0,0
2014_01,SP,0,0
2014_01,TO,0,0
2014_02,AC,0,0
2014_02,AL,0,0
2014_02,AM,0,0
2014_02,AP,0,0
2014_02,BA,0,0
2014_02,CE,0,0
2014_02,DF,0,0
2014_02,ES,0,0
2014_02,GO,0,0
2014_02,MA,0,0
2014_02,MG,0,0
2014_02,MS,0,0
2014_02,MT,0,0
2014_02,PA,0,0
2014_02,PB,0,0
2014_02,PE,0,0
2014_02,PI,0,0
2014_02,PR,0,0
2014_02,RJ,0,0
2014_02,RN,0,0
2014_02,RO,0,0
2014_02,RR,0,0
2014_02,RS,0,0
2014_02,SC,0,0
2014_02,SE,0,0
2014_02,SP,0,0
2014_02,TO,0,0
2014_03,AC,0,0
2014_03,AL,0,0
2014_03,AM,0,0
2014_03,AP,0,0
2014_03,BA,0,0
2014_03,CE,0,0
2014_03,DF,0,0
2014_03,ES,0,0
2014_03,GO,0,0
2014_03,MA,0,0
2014_03,MG,0,0
2014_03,MS,0,0
2014_03,MT,0,0
2014_03,PA,0,0
2014_03,PB,0,0
2014_03,PE,0,0
2014_03,PI,0,0
2014_03,PR,0,0
2014_03,RJ,0,0
2014_03,RN,0,0
2014_03,RO,0,0
2014_03,RR,0,0
2014_03,RS,0,0
2014_03,SC,0,0
2014_03,SE,0,0
2014_03,SP,0,0
2014_03,TO,0,0
2014_04,AC,0,0
2014_04,AL,0,0
2014_04,AM,0,0
2014_04,AP,0,0
2014_04,BA,0,0
2014_04,CE,0,0
2014_04,DF,0,0
2014_04,ES,0,0
2014_04,GO,0,0
2014_04,MA,0,0
2014_04,MG,0,0
2014_04,MS,0,0
2014_04,MT,0,0
2014_04,PA,0,0
2014_04,PB,0,0
2014_04,PE,0,0
2014_04,PI,0,0
2014_04,PR,0,0
2014_04,RJ,0,0
2014_04,RN,0,0
2014_04,RO,0,0
2014_04,RR,0,0
2014_04,RS,0,0
2014_04,SC,0,0
2014_04,SE,0,0
2014_04,SP,0,0
2014_04,TO,0,0
2014_05,AC,0,0
2014_05,AL,0,0
2014_05,AM,0,0
2014_05,AP,0,0
2014_05,BA,0,0
2014_05,CE,0,0
2014_05,DF,0,0
2014_05,ES,0,0
2014_05,GO,0,0
2014_05,MA,0,0
2014_05,MG,0,0
2014_05,MS,0,0
2014_05,MT,0,0
2014_05,PA,0,0
2014_05,PB,0,0
2014_05,PE,0,0
2014_05,PI,0,0
2014_05,PR,0,0
2014_05,RJ,0,0
2014_05,RN,0,0
2014_05,RO,0,0
2014_05,RR,0,0
2014_05,RS,0,0
2014_05,SC,0,0
