Epi_week,Category,OROV_INC
2014_01,National,0
2014_01,Rural,0
2014_01,Urban,0
2014_02,National,0
2014_02,Rural,0
2014_02,Urban,0
2014_03,National,0
2014_03,Rural,0
2014_03,Urban,0
2014_04,National,0
2014_04,Rural,0
2014_04,Urban,0
2014_05,National,0
2014_05,Rural,0
2014_05,Urban,0
2014_06,National,0
2014_06,Rural,0
2014_06,Urban,0
2014_07,National,0
2014_07,Rural,0
2014_07,Urban,0
2014_08,National,0
2014_08,Rural,0
2014_08,Urban,0
2014_09,National,0
2014_09,Rural,0
2014_09,Urban,0
2014_10,National,0
2014_10,Rural,0
2014_10,Urban,0
2014_11,National,0
2014_11,Rural,0
2014_11,Urban,0
2014_12,National,0
2014_12,Rural,0
2014_12,Urban,0
2014_13,National,0
2014_13,Rural,0
2014_13,Urban,0
2014_14,National,0
2014_14,Rural,0
2014_14,Urban,0
2014_15,National,0
2014_15,Rural,0
2014_15,Urban,0
2014_16,National,0
2014_16,Rural,0
2014_16,Urban,0
2014_17,National,0
2014_17,Rural,0
2014_17,Urban,0
2014_18,National,0
2014_18,Rural,0
2014_18,Urban,0
2014_19,National,0
2014_19,Rural,0
2014_19,Urban,0
2014_20,National,0
2014_20,Rural,0
2014_20,Urban,0
2014_21,National,0
2014_21,Rural,0
2014_21,Urban,0
2014_22,National,0
2014_22,Rural,0
2014_22,Urban,0
2014_23,National,0
2014_23,Rural,0
2014_23,Urban,0
2014_24,National,0
2014_24,Rural,0
2014_24,Urban,0
2014_25,National,0
2014_25,Rural,0
2014_25,Urban,0
2014_26,National,0
2014_26,Rural,0
2014_26,Urban,0
2014_27,National,0
2014_27,Rural,0
2014_27,Urban,0
2014_28,National,0
2014_28,Rural,0
2014_28,Urban,0
2014_29,National,0
2014_29,Rural,0
2014_29,Urban,0
2014_30,National,0
2014_30,Rural,0
2014_30,Urban,0
2014_31,National,0
2014_31,Rural,0
2014_31,Urban,0
2014_32,National,0
2014_32,Rural,0
2014_32,Urban,0
2014_33,National,0
2014_33,Rural,0
2014_33,Urban,0
2014_34,National,0
2014_34,Rural,0
2014_34,Urban,0
2014_35,National,0
2014_35,Rural,0
2014_35,Urban,0
2014_36,National,0
2014_36,Rural,0
2014_36,Urban,0
2014_37,National,0
2014_37,Rural,0
2014_37,Urban,0
2014_38,National,0
2014_38,Rural,0
2014_38,Urban,0
2014_39,National,0
2014_39,Rural,0
2014_39,Urban,0
2014_40,National,0
2014_40,Rural,0
2014_40,Urban,0
2014_41,National,0
2014_41,Rural,0
2014_41,Urban,0
2014_42,National,0
2014_42,Rural,0
2014_42,Urban,0
2014_43,National,0
2014_43,Rural,0
2014_43,Urban,0
2014_44,National,0
2014_44,Rural,0
2014_44,Urban,0
2014_45,National,0.00098483
2014_45,Rural,0
2014_45,Urban,0.001126707
2014_46,National,0
2014_46,Rural,0
2014_46,Urban,0
2014_47,National,0
2014_47,Rural,0
2014_47,Urban,0
2014_48,National,0.000492415
2014_48,Rural,0
2014_48,Urban,0.000563354
2014_49,National,0.001477245
2014_49,Rural,0.003910475
2014_49,Urban,0.001126707
2014_50,National,0.00098483
2014_50,Rural,0
2014_50,Urban,0.001126707
2014_51,National,0.000492415
2014_51,Rural,0
2014_51,Urban,0.000563354
2014_52,National,0.00098483
2014_52,Rural,0
2014_52,Urban,0.001126707
2014_53,National,0
2014_53,Rural,0
2014_53,Urban,0
2015_01,National,0.00098483
2015_01,Rural,0
2015_01,Urban,0.001126707
2015_02,National,0.000492415
2015_02,Rural,0
2015_02,Urban,0.000563354
2015_03,National,0.001477245
2015_03,Rural,0
2015_03,Urban,0.001690061
2015_04,National,0.00196966
2015_04,Rural,0.007820951
2015_04,Urban,0.001126707
2015_05,National,0.00196966
2015_05,Rural,0.003910475
2015_05,Urban,0.001690061
2015_06,National,0
2015_06,Rural,0
2015_06,Urban,0
2015_07,National,0.00098483
2015_07,Rural,0
2015_07,Urban,0.001126707
2015_08,National,0.000492415
2015_08,Rural,0
2015_08,Urban,0.000563354
2015_09,National,0.00098483
2015_09,Rural,0.007820951
2015_09,Urban,0
2015_10,National,0.004431735
2015_10,Rural,0
2015_10,Urban,0.005070182
2015_11,National,0.002462075
2015_11,Rural,0.003910475
2015_11,Urban,0.002253414
2015_12,National,0.00295449
2015_12,Rural,0
2015_12,Urban,0.003380121
2015_13,National,0.00196966
2015_13,Rural,0
2015_13,Urban,0.002253414
2015_14,National,0.00196966
2015_14,Rural,0.011731426
2015_14,Urban,0.000563354
2015_15,National,0.00393932
