Epi_week,State,Percentage
2023_44,RO,0
2023_44,AC,>0-5
2023_44,AM,0
2023_44,RR,0
2023_44,PA,0
2023_44,AP,0
2023_44,TO,0
2023_44,MA,0
2023_44,PI,0
2023_44,CE,0
2023_44,RN,0
2023_44,PB,0
2023_44,PE,0
2023_44,AL,0
2023_44,SE,0
2023_44,BA,0
2023_44,MS,0
2023_44,MT,0
2023_44,GO,0
2023_44,MG,0
2023_44,ES,0
2023_44,RJ,0
2023_44,SP,0
2023_44,PR,0
2023_44,SC,0
2023_44,RS,0
2023_45,RO,0
2023_45,AC,0
2023_45,AM,0
2023_45,RR,0
2023_45,PA,0
2023_45,AP,0
2023_45,TO,0
2023_45,MA,0
2023_45,PI,0
2023_45,CE,0
2023_45,RN,0
2023_45,PB,0
2023_45,PE,0
2023_45,AL,0
2023_45,SE,0
2023_45,BA,0
2023_45,MS,0
2023_45,MT,0
2023_45,GO,0
2023_45,MG,0
2023_45,ES,0
2023_45,RJ,0
2023_45,SP,0
2023_45,PR,0
2023_45,SC,0
2023_45,RS,0
2023_46,RO,0
2023_46,AC,0
2023_46,AM,0
2023_46,RR,0
2023_46,PA,0
2023_46,AP,0
2023_46,TO,0
2023_46,MA,0
2023_46,PI,0
2023_46,CE,0
2023_46,RN,0
2023_46,PB,0
2023_46,PE,0
2023_46,AL,0
2023_46,SE,0
2023_46,BA,0
2023_46,MS,0
2023_46,MT,0
2023_46,GO,0
2023_46,MG,0
2023_46,ES,0
2023_46,RJ,0
2023_46,SP,0
2023_46,PR,0
2023_46,SC,0
2023_46,RS,0
2023_47,RO,0
2023_47,AC,>0-5
2023_47,AM,>0-5
2023_47,RR,0
2023_47,PA,0
2023_47,AP,0
2023_47,TO,0
2023_47,MA,0
2023_47,PI,0
2023_47,CE,0
2023_47,RN,0
2023_47,PB,0
2023_47,PE,0
2023_47,AL,0
2023_47,SE,0
2023_47,BA,0
2023_47,MS,0
2023_47,MT,0
2023_47,GO,0
2023_47,MG,0
2023_47,ES,0
2023_47,RJ,0
2023_47,SP,0
2023_47,PR,0
2023_47,SC,0
2023_47,RS,0
2023_48,RO,0
2023_48,AC,>0-5
2023_48,AM,>0-5
2023_48,RR,0
2023_48,PA,0
2023_48,AP,0
2023_48,TO,0
2023_48,MA,0
2023_48,PI,0
2023_48,CE,0
2023_48,RN,0
2023_48,PB,0
2023_48,PE,0
2023_48,AL,0
2023_48,SE,0
2023_48,BA,0
2023_48,MS,0
2023_48,MT,0
2023_48,GO,0
2023_48,MG,0
2023_48,ES,0
2023_48,RJ,0
2023_48,SP,0
2023_48,PR,0
2023_48,SC,0
2023_48,RS,0
2023_49,RO,0
2023_49,AC,>0-5
2023_49,AM,>0-5
2023_49,RR,0
2023_49,PA,0
2023_49,AP,0
2023_49,TO,0
2023_49,MA,0
2023_49,PI,0
2023_49,CE,0
2023_49,RN,0
2023_49,PB,0
2023_49,PE,0
2023_49,AL,0
2023_49,SE,0
2023_49,BA,0
2023_49,MS,0
2023_49,MT,0
2023_49,GO,0
2023_49,MG,0
2023_49,ES,0
2023_49,RJ,0
2023_49,SP,0
2023_49,PR,0
2023_49,SC,0
2023_49,RS,0
2023_50,RO,0
2023_50,AC,>5-10
2023_50,AM,>0-5
2023_50,RR,0
2023_50,PA,0
2023_50,AP,0
2023_50,TO,0
2023_50,MA,0
2023_50,PI,0
2023_50,CE,0
2023_50,RN,0
2023_50,PB,0
2023_50,PE,0
2023_50,AL,0
2023_50,SE,0
2023_50,BA,0
2023_50,MS,0
2023_50,MT,0
2023_50,GO,0
2023_50,MG,0
2023_50,ES,0
2023_50,RJ,0
2023_50,SP,0
2023_50,PR,0
2023_50,SC,0
2023_50,RS,0
2023_51,RO,0
2023_51,AC,>5-10
2023_51,AM,>0-5
2023_51,RR,0
2023_51,PA,0
2023_51,AP,0
2023_51,TO,0
2023_51,MA,0
2023_51,PI,0
2023_51,CE,0
2023_51,RN,0
2023_51,PB,0
2023_51,PE,0
2023_51,AL,0
2023_51,SE,0
2023_51,BA,0
2023_51,MS,0
2023_51,MT,0
2023_51,GO,0
2023_51,MG,0
2023_51,ES,0
2023_51,RJ,0
2023_51,SP,0
2023_51,PR,0
2023_51,SC,0
2023_51,RS,0
2023_52,RO,0
2023_52,AC,0
2023_52,AM,>0-5
2023_52,RR,0
2023_52,PA,0
2023_52,AP,0
2023_52,TO,0
2023_52,MA,0
2023_52,PI,0
2023_52,CE,0
2023_52,RN,0
2023_52,PB,0
2023_52,PE,0
2023_52,AL,0
2023_52,SE,0
2023_52,BA,0
2023_52,MS,0
2023_52,MT,0
2023_52,GO,0
2023_52,MG,0
2023_52,ES,0
2023_52,RJ,0
2023_52,SP,0
2023_52,PR,0
2023_52,SC,0
2023_52,RS,0
2024_01,RO,>0-5
2024_01,AC,>5-10
2024_01,AM,>5-10
2024_01,RR,0
2024_01,PA,0
2024_01,AP,0
2024_01,TO,0
2024_01,MA,0
2024_01,PI,0
2024_01,CE,0
2024_01,RN,0
2024_01,PB,0
2024_01,PE,0
2024_01,AL,0
2024_01,SE,0
2024_01,BA,0
2024_01,MS,0
2024_01,MT,0
2024_01,GO,0
2024_01,MG,0
2024_01,ES,0
2024_01,RJ,0
2024_01,SP,0
2024_01,PR,0
2024_01,SC,0
2024_01,RS,0
2024_02,RO,>0-5
2024_02,AC,>10-20
2024_02,AM,>10-20
2024_02,RR,0
2024_02,PA,0
2024_02,AP,0
2024_02,TO,0
2024_02,MA,0
2024_02,PI,0
2024_02,CE,0
2024_02,RN,0
2024_02,PB,0
2024_02,PE,0
2024_02,AL,0
2024_02,SE,0
2024_02,BA,0
2024_02,MS,0
2024_02,MT,0
2024_02,GO,0
2024_02,MG,0
2024_02,ES,0
2024_02,RJ,0
2024_02,SP,0
2024_02,PR,0
2024_02,SC,0
2024_02,RS,0
2024_03,RO,>0-5
2024_03,AC,>10-20
2024_03,AM,>10-20
2024_03,RR,0
2024_03,PA,0
2024_03,AP,0
2024_03,TO,0
2024_03,MA,0
2024_03,PI,0
2024_03,CE,0
2024_03,RN,0
2024_03,PB,0
2024_03,PE,0
2024_03,AL,0
2024_03,SE,0
2024_03,BA,0
2024_03,MS,0
2024_03,MT,0
2024_03,GO,0
2024_03,MG,0
2024_03,ES,0
2024_03,RJ,0
2024_03,SP,0
2024_03,PR,0
2024_03,SC,0
2024_03,RS,0
2024_04,RO,>5-10
2024_04,AC,>10-20
2024_04,AM,>10-20
2024_04,RR,0
2024_04,PA,0
2024_04,AP,0
2024_04,TO,0
2024_04,MA,0
2024_04,PI,0
2024_04,CE,0
2024_04,RN,0
2024_04,PB,0
2024_04,PE,0
2024_04,AL,0
2024_04,SE,0
2024_04,BA,0
2024_04,MS,0
2024_04,MT,0
2024_04,GO,0
2024_04,MG,0
2024_04,ES,0
2024_04,RJ,0
2024_04,SP,0
2024_04,PR,0
2024_04,SC,0
2024_04,RS,0
2024_05,RO,>5-10
2024_05,AC,>5-10
2024_05,AM,>10-20
2024_05,RR,0
2024_05,PA,>0-5
2024_05,AP,0
2024_05,TO,0
2024_05,MA,0
2024_05,PI,0
2024_05,CE,0
2024_05,RN,0
2024_05,PB,0
2024_05,PE,0
2024_05,AL,0
2024_05,SE,0
2024_05,BA,0
2024_05,MS,0
2024_05,MT,0
2024_05,GO,0
2024_05,MG,0
2024_05,ES,0
2024_05,RJ,0
2024_05,SP,0
2024_05,PR,0
2024_05,SC,0
2024_05,RS,0
2024_06,RO,>10-20
2024_06,AC,>0-5
2024_06,AM,>20-30
2024_06,RR,0
2024_06,PA,>0-5
2024_06,AP,0
2024_06,TO,0
2024_06,MA,0
2024_06,PI,0
2024_06,CE,0
2024_06,RN,0
2024_06,PB,0
2024_06,PE,0
2024_06,AL,0
2024_06,SE,0
2024_06,BA,0
2024_06,MS,0
2024_06,MT,0
2024_06,GO,0
2024_06,MG,0
2024_06,ES,0
2024_06,RJ,0
2024_06,SP,0
2024_06,PR,0
2024_06,SC,0
2024_06,RS,0
2024_07,RO,>10-20
2024_07,AC,>0-5
2024_07,AM,>10-20
2024_07,RR,0
2024_07,PA,0
2024_07,AP,0
2024_07,TO,0
2024_07,MA,0
2024_07,PI,0
2024_07,CE,0
2024_07,RN,0
2024_07,PB,0
2024_07,PE,0
2024_07,AL,0
2024_07,SE,0
2024_07,BA,0
2024_07,MS,0
2024_07,MT,0
2024_07,GO,0
2024_07,MG,0
2024_07,ES,0
2024_07,RJ,0
2024_07,SP,0
2024_07,PR,0
2024_07,SC,0
2024_07,RS,0
2024_08,RO,>10-20
2024_08,AC,>10-20
2024_08,AM,>20-30
2024_08,RR,0
2024_08,PA,>0-5
2024_08,AP,0
2024_08,TO,0
2024_08,MA,0
2024_08,PI,0
2024_08,CE,0
2024_08,RN,0
2024_08,PB,0
2024_08,PE,0
2024_08,AL,0
2024_08,SE,0
2024_08,BA,0
2024_08,MS,0
2024_08,MT,0
2024_08,GO,0
2024_08,MG,0
2024_08,ES,0
2024_08,RJ,0
2024_08,SP,0
2024_08,PR,0
2024_08,SC,0
2024_08,RS,0
2024_09,RO,>10-20
2024_09,AC,>5-10
2024_09,AM,>20-30
2024_09,RR,0
2024_09,PA,>0-5
2024_09,AP,0
2024_09,TO,0
2024_09,MA,0
2024_09,PI,0
2024_09,CE,0
2024_09,RN,0
2024_09,PB,0
2024_09,PE,0
2024_09,AL,0
2024_09,SE,0
2024_09,BA,0
2024_09,MS,0
2024_09,MT,0
2024_09,GO,0
2024_09,MG,0
2024_09,ES,0
2024_09,RJ,0
2024_09,SP,0
2024_09,PR,0
2024_09,SC,0
2024_09,RS,0
2024_10,RO,>10-20
2024_10,AC,0
2024_10,AM,>10-20
2024_10,RR,0
2024_10,PA,0
2024_10,AP,0
2024_10,TO,0
2024_10,MA,0
2024_10,PI,0
2024_10,CE,0
2024_10,RN,0
2024_10,PB,0
2024_10,PE,0
2024_10,AL,0
2024_10,SE,0
2024_10,BA,0
2024_10,MS,0
2024_10,MT,0
2024_10,GO,0
2024_10,MG,0
2024_10,ES,0
2024_10,RJ,0
2024_10,SP,0
2024_10,PR,0
2024_10,SC,0
2024_10,RS,0
2024_11,RO,>20-30
2024_11,AC,>0-5
2024_11,AM,>5-10
2024_11,RR,0
2024_11,PA,>0-5
2024_11,AP,0
2024_11,TO,0
2024_11,MA,0
2024_11,PI,>0-5
2024_11,CE,0
2024_11,RN,0
2024_11,PB,0
2024_11,PE,0
2024_11,AL,0
2024_11,SE,0
2024_11,BA,>0-5
2024_11,MS,0
2024_11,MT,0
2024_11,GO,0
2024_11,MG,0
2024_11,ES,0
2024_11,RJ,0
2024_11,SP,0
2024_11,PR,0
2024_11,SC,0
2024_11,RS,0
2024_12,RO,>10-20
2024_12,AC,>0-5
2024_12,AM,>0-5
2024_12,RR,0
2024_12,PA,0
2024_12,AP,0
2024_12,TO,0
2024_12,MA,0
2024_12,PI,0
2024_12,CE,0
2024_12,RN,0
2024_12,PB,0
2024_12,PE,0
2024_12,AL,0
2024_12,SE,0
2024_12,BA,>0-5
2024_12,MS,0
2024_12,MT,0
2024_12,GO,0
2024_12,MG,>0-5
2024_12,ES,0
2024_12,RJ,>0-5
2024_12,SP,0
2024_12,PR,0
2024_12,SC,>0-5
2024_12,RS,0
2024_13,RO,>5-10
2024_13,AC,0
2024_13,AM,>5-10
2024_13,RR,0
2024_13,PA,0
2024_13,AP,0
2024_13,TO,0
2024_13,MA,0
2024_13,PI,0
2024_13,CE,0
2024_13,RN,0
2024_13,PB,0
2024_13,PE,0
2024_13,AL,0
2024_13,SE,0
2024_13,BA,>0-5
2024_13,MS,0
2024_13,MT,0
2024_13,GO,0
2024_13,MG,>0-5
2024_13,ES,0
2024_13,RJ,>0-5
2024_13,SP,0
2024_13,PR,0
2024_13,SC,0
2024_13,RS,0
2024_14,RO,>5-10
2024_14,AC,0
2024_14,AM,>5-10
2024_14,RR,0
2024_14,PA,0
2024_14,AP,0
2024_14,TO,0
2024_14,MA,0
2024_14,PI,0
2024_14,CE,0
2024_14,RN,0
2024_14,PB,0
2024_14,PE,0
2024_14,AL,0
2024_14,SE,0
2024_14,BA,0
2024_14,MS,0
2024_14,MT,0
2024_14,GO,0
2024_14,MG,>0-5
2024_14,ES,0
2024_14,RJ,>0-5
2024_14,SP,0
2024_14,PR,0
2024_14,SC,>0-5
2024_14,RS,0
2024_15,RO,>5-10
2024_15,AC,0
2024_15,AM,>5-10
2024_15,RR,0
2024_15,PA,0
2024_15,AP,0
2024_15,TO,0
2024_15,MA,0
2024_15,PI,0
2024_15,CE,0
2024_15,RN,0
2024_15,PB,0
2024_15,PE,0
2024_15,AL,0
2024_15,SE,0
2024_15,BA,>0-5
2024_15,MS,0
2024_15,MT,0
2024_15,GO,0
2024_15,MG,>0-5
2024_15,ES,0
2024_15,RJ,>0-5
2024_15,SP,0
2024_15,PR,0
2024_15,SC,0
2024_15,RS,0
2024_16,RO,0
2024_16,AC,0
2024_16,AM,>0-5
2024_16,RR,0
2024_16,PA,>0-5
2024_16,AP,0
2024_16,TO,0
2024_16,MA,0
2024_16,PI,0
2024_16,CE,0
2024_16,RN,0
2024_16,PB,0
2024_16,PE,0
2024_16,AL,0
2024_16,SE,0
2024_16,BA,>0-5
2024_16,MS,0
2024_16,MT,0
2024_16,GO,0
2024_16,MG,>0-5
2024_16,ES,>0-5
2024_16,RJ,>0-5
2024_16,SP,0
2024_16,PR,0
2024_16,SC,0
2024_16,RS,0
2024_17,RO,0
2024_17,AC,>0-5
2024_17,AM,>0-5
2024_17,RR,0
2024_17,PA,0
2024_17,AP,0
2024_17,TO,0
2024_17,MA,0
2024_17,PI,0
2024_17,CE,0
2024_17,RN,0
2024_17,PB,0
2024_17,PE,0
2024_17,AL,0
2024_17,SE,0
2024_17,BA,>0-5
2024_17,MS,0
2024_17,MT,>0-5
2024_17,GO,0
2024_17,MG,>0-5
2024_17,ES,>0-5
2024_17,RJ,>0-5
2024_17,SP,0
2024_17,PR,0
2024_17,SC,0
2024_17,RS,0
2024_18,RO,0
2024_18,AC,0
2024_18,AM,>0-5
2024_18,RR,0
2024_18,PA,0
2024_18,AP,0
2024_18,TO,0
2024_18,MA,>0-5
2024_18,PI,0
2024_18,CE,0
2024_18,RN,0
2024_18,PB,0
2024_18,PE,0
2024_18,AL,0
2024_18,SE,0
2024_18,BA,>0-5
2024_18,MS,0
2024_18,MT,0
2024_18,GO,0
2024_18,MG,>0-5
2024_18,ES,>0-5
2024_18,RJ,0
2024_18,SP,0
2024_18,PR,0
2024_18,SC,>0-5
2024_18,RS,0
2024_19,RO,0
2024_19,AC,0
2024_19,AM,>0-5
2024_19,RR,0
2024_19,PA,0
2024_19,AP,0
2024_19,TO,0
2024_19,MA,0
2024_19,PI,0
2024_19,CE,0
2024_19,RN,0
2024_19,PB,0
2024_19,PE,0
2024_19,AL,0
2024_19,SE,0
2024_19,BA,>0-5
2024_19,MS,0
2024_19,MT,0
2024_19,GO,0
2024_19,MG,0
2024_19,ES,>0-5
2024_19,RJ,0
2024_19,SP,0
2024_19,PR,0
2024_19,SC,>0-5
2024_19,RS,0
2024_20,RO,0
2024_20,AC,0
2024_20,AM,>0-5
2024_20,RR,>5-10
2024_20,PA,0
2024_20,AP,>5-10
2024_20,TO,0
2024_20,MA,0
2024_20,PI,0
2024_20,CE,0
2024_20,RN,0
2024_20,PB,0
2024_20,PE,0
2024_20,AL,0
2024_20,SE,0
2024_20,BA,>0-5
2024_20,MS,0
2024_20,MT,0
2024_20,GO,0
2024_20,MG,0
2024_20,ES,>5-10
2024_20,RJ,0
2024_20,SP,0
2024_20,PR,0
2024_20,SC,>0-5
2024_20,RS,0
2024_21,RO,0
2024_21,AC,0
2024_21,AM,>0-5
2024_21,RR,>10-20
2024_21,PA,0
2024_21,AP,0
2024_21,TO,0
2024_21,MA,0
2024_21,PI,0
2024_21,CE,0
2024_21,RN,0
2024_21,PB,0
2024_21,PE,0
2024_21,AL,0
2024_21,SE,0
2024_21,BA,>0-5
2024_21,MS,0
2024_21,MT,0
2024_21,GO,0
2024_21,MG,0
2024_21,ES,>5-10
2024_21,RJ,0
2024_21,SP,0
2024_21,PR,0
2024_21,SC,>0-5
2024_21,RS,0
2024_22,RO,0
2024_22,AC,0
2024_22,AM,0
2024_22,RR,>5-10
2024_22,PA,0
2024_22,AP,0
2024_22,TO,0
2024_22,MA,0
2024_22,PI,0
2024_22,CE,0
2024_22,RN,0
2024_22,PB,0
2024_22,PE,0
2024_22,AL,0
2024_22,SE,0
2024_22,BA,>0-5
2024_22,MS,0
2024_22,MT,0
2024_22,GO,0
2024_22,MG,0
2024_22,ES,>0-5
2024_22,RJ,0
2024_22,SP,0
2024_22,PR,0
2024_22,SC,0
2024_22,RS,0
2024_23,RO,0
2024_23,AC,0
2024_23,AM,0
2024_23,RR,>5-10
2024_23,PA,0
2024_23,AP,0
2024_23,TO,0
2024_23,MA,0
2024_23,PI,0
2024_23,CE,0
2024_23,RN,0
2024_23,PB,0
2024_23,PE,0
2024_23,AL,0
2024_23,SE,0
2024_23,BA,>0-5
2024_23,MS,0
2024_23,MT,0
2024_23,GO,0
2024_23,MG,0
2024_23,ES,>0-5
2024_23,RJ,0
2024_23,SP,0
2024_23,PR,0
2024_23,SC,>0-5
2024_23,RS,0
2024_24,RO,0
2024_24,AC,0
2024_24,AM,0
2024_24,RR,>5-10
2024_24,PA,0
2024_24,AP,0
2024_24,TO,0
2024_24,MA,0
2024_24,PI,0
2024_24,CE,0
2024_24,RN,0
2024_24,PB,0
2024_24,PE,>0-5
2024_24,AL,0
