"pretty_name","Coefficient","Estimate","Std. Error","z value","Pr(>|z|)","upperCI","lowerCI","estimate_CI"
NA,"(Intercept)",-2.3977610396055,0.299950477953698,-7.99385637243636,1.30782110647678e-15,-1.80985810281625,-2.98566397639474,"-2.4 (-2.99,-1.81)"
"Mean Daily Precipitation In Subsequent 30 Days (Normalized)","precip_normalized_mean_subsequent_30",0.314225493688657,0.112941138552771,2.78220582610681,0.00539907869955818,0.535590125252088,0.0928608621252249,"0.31 (0.09,0.54)"
"Mean Daily Average Vapor Pressure in Previous 30 Days (Normalized)","vapor_normalized_mean_prior_30",0.46212891352835,0.186609175211638,2.47645333089457,0.0132694971832549,0.82788289694316,0.096374930113539,"0.46 (0.1,0.83)"
"Mean Daily Low Temperature In Subsequent 30 Days (Normalized)","temp_min_normalized_mean_subsequent_30",0.727285352099496,0.211729473157906,3.43497455149804,0.000592609477029687,1.14227511948899,0.312295584709999,"0.73 (0.31,1.14)"
"Mean Vapor Pressure Over Month With Lowest Humidity In A Typical Year (Normalized)","annual_min_vapr_normalized",0.852526202487748,0.24959512532659,3.41563642868519,0.000636331447176104,1.34173264812787,0.363319756847631,"0.85 (0.36,1.34)"
"Sum of Precipitation Over Typical Year (Normalized)","annual_sum_precip_normalized",-0.266696367556862,0.0837234324319912,-3.18544474121388,0.00144531703153184,-0.10259843999016,-0.430794295123565,"-0.27 (-0.43,-0.1)"
"Mean Daily High Temperature In Coldest Month In A Typical Year (Normalized)","annual_min_tempmax_normalized",1.01983155001804,0.309239355081907,3.29787115791882,0.000974208255995919,1.62594068597857,0.413722414057499,"1.02 (0.41,1.63)"
"Mean Daily Average Temperature In Coldest Month In A Typical Year (Normalized)","annual_min_tempmean_normalized",-2.4312009785913,0.47586804286713,-5.10898139732852,3.2390023847275e-07,-1.49849961457172,-3.36390234261087,"-2.43 (-3.36,-1.5)"
"Log 10 of Density-Weighted Population Density (Normalized)","log10_dwmd_normalized",-0.28350957659599,0.0906844355416974,-3.12633116038562,0.00177002109270092,-0.105768082934263,-0.461251070257717,"-0.28 (-0.46,-0.11)"
"Proportion Landcover Bare or Sparse (Normalized)","lc_bare_mean_normalized",-0.327391420012219,0.098459186066714,-3.32514855231877,0.000883714358042981,-0.134411415321459,-0.520371424702978,"-0.33 (-0.52,-0.13)"
"Proportion Landcover Cropland (Normalized)","lc_cropland_mean_normalized",-1.34936746512018,0.408737545871319,-3.30130539450123,0.000962360694765391,-0.548241875212394,-2.15049305502797,"-1.35 (-2.15,-0.55)"
"Maximum Human Footprint (Normalized)","foot_max_normalized",0.270546562665324,0.0833406014530404,3.24627562014617,0.00116925578216114,0.433894141513283,0.107198983817364,"0.27 (0.11,0.43)"
"Percent Banana Cultivation (Normalized)","pct_crop_banana_mean_normalized",0.177145433222995,0.0361746333134788,4.89695173100732,9.73347348845587e-07,0.248047714517414,0.106243151928577,"0.18 (0.11,0.25)"
"Percent Cassava Cultivation (Normalized)","pct_crop_cassava_mean_normalized",-0.322210872129648,0.0969436088745713,-3.32369380375074,0.000888336738433395,-0.132201398735488,-0.512220345523807,"-0.32 (-0.51,-0.13)"
"Percent Rubber Cultivation (Normalized)","pct_crop_rubber_mean_normalized",0.253577443084592,0.0792573561194403,3.19941839470967,0.00137705165454737,0.408921861078695,0.0982330250904891,"0.25 (0.1,0.41)"
