Month,Oropouche_Brazil
1/1/14,0
2/1/14,0
3/1/14,0
4/1/14,0
5/1/14,0
6/1/14,0
7/1/14,0
8/1/14,0
9/1/14,0
10/1/14,0
11/1/14,0
12/1/14,0
1/1/15,0
2/1/15,0
3/1/15,0
4/1/15,0
5/1/15,0
6/1/15,0.5
7/1/15,0
8/1/15,0
9/1/15,0
10/1/15,0
11/1/15,0
12/1/15,0
1/1/16,1
2/1/16,0
3/1/16,0.5
4/1/16,0
5/1/16,0.5
6/1/16,0
7/1/16,0
8/1/16,0
9/1/16,0
10/1/16,0
11/1/16,0
12/1/16,0
1/1/17,0
2/1/17,0
3/1/17,0
4/1/17,0
5/1/17,0
6/1/17,0
7/1/17,3
8/1/17,1
9/1/17,1
10/1/17,1
11/1/17,0
12/1/17,0.5
1/1/18,1
2/1/18,0
3/1/18,0.5
4/1/18,1
5/1/18,0
6/1/18,0
7/1/18,0
8/1/18,0
9/1/18,0.5
10/1/18,0
11/1/18,0
12/1/18,0
1/1/19,0
2/1/19,0
3/1/19,0
4/1/19,0
5/1/19,1
6/1/19,0.5
7/1/19,0
8/1/19,0.5
9/1/19,0
10/1/19,0
11/1/19,0.5
12/1/19,0
1/1/20,0
2/1/20,0
3/1/20,0.5
4/1/20,0.5
5/1/20,0
6/1/20,0.5
7/1/20,0
8/1/20,0
9/1/20,0.5
10/1/20,0
11/1/20,0
12/1/20,0
1/1/21,0.5
2/1/21,0
3/1/21,0
4/1/21,2
5/1/21,0.5
6/1/21,0
7/1/21,0
8/1/21,0.5
9/1/21,0
10/1/21,0
11/1/21,0
12/1/21,0
1/1/22,0
2/1/22,0
3/1/22,0
4/1/22,0.5
5/1/22,0.5
6/1/22,0.5
7/1/22,0
8/1/22,0
9/1/22,0.5
10/1/22,0
11/1/22,0
12/1/22,0
1/1/23,0
2/1/23,0.5
3/1/23,0.5
4/1/23,0.5
5/1/23,0.5
6/1/23,0.5
7/1/23,0
8/1/23,0.5
9/1/23,1
10/1/23,0.5
11/1/23,1
12/1/23,1
1/1/24,7
2/1/24,9
3/1/24,39
4/1/24,41
5/1/24,37
6/1/24,27
7/1/24,100
8/1/24,93
9/1/24,15
10/1/24,10
11/1/24,10
12/1/24,18
1/1/25,21
2/1/25,16
3/1/25,16
4/1/25,14
5/1/25,23
6/1/25,13
7/1/25,6
8/1/25,4
9/1/25,4
