Years,Testing_method,percentage
2014,RT-PCR,0
2014,Serology,100
2015,RT-PCR,0
2015,Serology,100
2016,RT-PCR,0
2016,Serology,100
2017,RT-PCR,0
2017,Serology,100
2018,RT-PCR,1.543209877
2018,Serology,98.45679012
2019,RT-PCR,0
2019,Serology,100
2020,RT-PCR,0
2020,Serology,100
2021,RT-PCR,0.546448087
2021,Serology,99.45355191
2022,RT-PCR,0.952380952
2022,Serology,99.04761905
2023,RT-PCR,80.98159509
2023,Serology,19.01840491
2024,RT-PCR,93.27110335
2024,Serology,6.728896649
2025,RT-PCR,94.33847093
2025,Serology,5.661529071
