Epi_week,Category,OROV_cases
2014_01,Rural,0
2014_01,Urban,0
2014_02,Rural,0
2014_02,Urban,0
2014_03,Rural,0
2014_03,Urban,0
2014_04,Rural,0
2014_04,Urban,0
2014_05,Rural,0
2014_05,Urban,0
2014_06,Rural,0
2014_06,Urban,0
2014_07,Rural,0
2014_07,Urban,0
2014_08,Rural,0
2014_08,Urban,0
2014_09,Rural,0
2014_09,Urban,0
2014_10,Rural,0
2014_10,Urban,0
2014_11,Rural,0
2014_11,Urban,0
2014_12,Rural,0
2014_12,Urban,0
2014_13,Rural,0
2014_13,Urban,0
2014_14,Rural,0
2014_14,Urban,0
2014_15,Rural,0
2014_15,Urban,0
2014_16,Rural,0
2014_16,Urban,0
2014_17,Rural,0
2014_17,Urban,0
2014_18,Rural,0
2014_18,Urban,0
2014_19,Rural,0
2014_19,Urban,0
2014_20,Rural,0
2014_20,Urban,0
2014_21,Rural,0
2014_21,Urban,0
2014_22,Rural,0
2014_22,Urban,0
2014_23,Rural,0
2014_23,Urban,0
2014_24,Rural,0
2014_24,Urban,0
2014_25,Rural,0
2014_25,Urban,0
2014_26,Rural,0
2014_26,Urban,0
2014_27,Rural,0
2014_27,Urban,0
2014_28,Rural,0
2014_28,Urban,0
2014_29,Rural,0
2014_29,Urban,0
2014_30,Rural,0
2014_30,Urban,0
2014_31,Rural,0
2014_31,Urban,0
2014_32,Rural,0
2014_32,Urban,0
2014_33,Rural,0
2014_33,Urban,0
2014_34,Rural,0
2014_34,Urban,0
2014_35,Rural,0
2014_35,Urban,0
2014_36,Rural,0
2014_36,Urban,0
2014_37,Rural,0
2014_37,Urban,0
2014_38,Rural,0
2014_38,Urban,0
2014_39,Rural,0
2014_39,Urban,0
2014_40,Rural,0
2014_40,Urban,0
2014_41,Rural,0
2014_41,Urban,0
2014_42,Rural,0
2014_42,Urban,0
2014_43,Rural,0
2014_43,Urban,0
2014_44,Rural,0
2014_44,Urban,0
2014_45,Rural,0
2014_45,Urban,2
2014_46,Rural,0
2014_46,Urban,0
2014_47,Rural,0
2014_47,Urban,0
2014_48,Rural,0
2014_48,Urban,1
2014_49,Rural,1
2014_49,Urban,2
2014_50,Rural,0
2014_50,Urban,2
2014_51,Rural,0
2014_51,Urban,1
