state_code,Year_test,Value
AC,Test_2024,9.23
AC,Test_2025,0.04
AL,Test_2024,3.84
AL,Test_2025,1.84
AM,Test_2024,17.71
AM,Test_2025,0.02
AP,Test_2024,15.17
AP,Test_2025,19.73
BA,Test_2024,9.09
BA,Test_2025,0.27
CE,Test_2024,13.39
CE,Test_2025,14.73
DF,Test_2024,0.02
DF,Test_2025,0.28
ES,Test_2024,22.26
ES,Test_2025,23.3
GO,Test_2024,0.41
GO,Test_2025,0.02
MA,Test_2024,9.74
MA,Test_2025,0.16
MG,Test_2024,9.1
MG,Test_2025,20.58
MS,Test_2024,0.17
MS,Test_2025,0
MT,Test_2024,4.06
MT,Test_2025,0.08
PA,Test_2024,17.6
PA,Test_2025,2.32
PB,Test_2024,0.48
PB,Test_2025,10.62
PE,Test_2024,9.6
PE,Test_2025,0.3
PI,Test_2024,3.21
PI,Test_2025,0.48
PR,Test_2024,0.08
PR,Test_2025,1.2
RJ,Test_2024,1.73
RJ,Test_2025,19.24
RN,Test_2024,0.71
RN,Test_2025,0.7
RO,Test_2024,27.39
RO,Test_2025,0.09
RR,Test_2024,12.46
RR,Test_2025,0.07
RS,Test_2024,1.15
RS,Test_2025,0.51
SC,Test_2024,3.04
SC,Test_2025,0.16
SE,Test_2024,1.92
SE,Test_2025,0
SP,Test_2024,0.94
SP,Test_2025,5.01
TO,Test_2024,0.88
TO,Test_2025,0.5
